center_lon,center_lat,left_lon,right_lon,bottom_lat,top_lat
112.952246,24.688057,112.94582750000001,112.9586645,24.683822,24.692292000000002
112.965083,24.688057,112.95866450000001,112.9715015,24.683822,24.692292000000002
112.97792,24.688057,112.9715015,112.98433849999999,24.683822,24.692292000000002
112.862387,24.696527,112.8559685,112.8688055,24.692292,24.700762
112.888061,24.696527,112.8816425,112.89447949999999,24.692292,24.700762
112.939409,24.696527,112.9329905,112.9458275,24.692292,24.700762
112.952246,24.696527,112.94582750000001,112.9586645,24.692292,24.700762
112.965083,24.696527,112.95866450000001,112.9715015,24.692292,24.700762
112.97792,24.696527,112.9715015,112.98433849999999,24.692292,24.700762
112.990757,24.696527,112.9843385,112.9971755,24.692292,24.700762
113.003594,24.696527,112.99717550000001,113.0100125,24.692292,24.700762
113.016431,24.696527,113.0100125,113.02284949999999,24.692292,24.700762
112.84955,24.704997,112.8431315,112.85596849999999,24.700761999999997,24.709232
112.862387,24.704997,112.8559685,112.8688055,24.700761999999997,24.709232
112.875224,24.704997,112.86880550000001,112.8816425,24.700761999999997,24.709232
112.888061,24.704997,112.8816425,112.89447949999999,24.700761999999997,24.709232
112.900898,24.704997,112.8944795,112.9073165,24.700761999999997,24.709232
112.913735,24.704997,112.90731650000001,112.9201535,24.700761999999997,24.709232
112.926572,24.704997,112.9201535,112.93299049999999,24.700761999999997,24.709232
112.939409,24.704997,112.9329905,112.9458275,24.700761999999997,24.709232
112.952246,24.704997,112.94582750000001,112.9586645,24.700761999999997,24.709232
112.965083,24.704997,112.95866450000001,112.9715015,24.700761999999997,24.709232
112.97792,24.704997,112.9715015,112.98433849999999,24.700761999999997,24.709232
112.990757,24.704997,112.9843385,112.9971755,24.700761999999997,24.709232
113.003594,24.704997,112.99717550000001,113.0100125,24.700761999999997,24.709232
113.016431,24.704997,113.0100125,113.02284949999999,24.700761999999997,24.709232
112.84955,24.713467,112.8431315,112.85596849999999,24.709232,24.717702000000003
112.862387,24.713467,112.8559685,112.8688055,24.709232,24.717702000000003
112.875224,24.713467,112.86880550000001,112.8816425,24.709232,24.717702000000003
112.888061,24.713467,112.8816425,112.89447949999999,24.709232,24.717702000000003
112.900898,24.713467,112.8944795,112.9073165,24.709232,24.717702000000003
112.913735,24.713467,112.90731650000001,112.9201535,24.709232,24.717702000000003
112.926572,24.713467,112.9201535,112.93299049999999,24.709232,24.717702000000003
112.939409,24.713467,112.9329905,112.9458275,24.709232,24.717702000000003
112.952246,24.713467,112.94582750000001,112.9586645,24.709232,24.717702000000003
112.965083,24.713467,112.95866450000001,112.9715015,24.709232,24.717702000000003
112.97792,24.713467,112.9715015,112.98433849999999,24.709232,24.717702000000003
112.990757,24.713467,112.9843385,112.9971755,24.709232,24.717702000000003
113.003594,24.713467,112.99717550000001,113.0100125,24.709232,24.717702000000003
112.84955,24.721937,112.8431315,112.85596849999999,24.717702,24.726172000000002
112.862387,24.721937,112.8559685,112.8688055,24.717702,24.726172000000002
112.875224,24.721937,112.86880550000001,112.8816425,24.717702,24.726172000000002
112.888061,24.721937,112.8816425,112.89447949999999,24.717702,24.726172000000002
112.900898,24.721937,112.8944795,112.9073165,24.717702,24.726172000000002
112.913735,24.721937,112.90731650000001,112.9201535,24.717702,24.726172000000002
112.926572,24.721937,112.9201535,112.93299049999999,24.717702,24.726172000000002
112.939409,24.721937,112.9329905,112.9458275,24.717702,24.726172000000002
112.952246,24.721937,112.94582750000001,112.9586645,24.717702,24.726172000000002
112.965083,24.721937,112.95866450000001,112.9715015,24.717702,24.726172000000002
112.97792,24.721937,112.9715015,112.98433849999999,24.717702,24.726172000000002
112.990757,24.721937,112.9843385,112.9971755,24.717702,24.726172000000002
113.003594,24.721937,112.99717550000001,113.0100125,24.717702,24.726172000000002
112.862387,24.730407,112.8559685,112.8688055,24.726172,24.734642
112.875224,24.730407,112.86880550000001,112.8816425,24.726172,24.734642
112.888061,24.730407,112.8816425,112.89447949999999,24.726172,24.734642
112.900898,24.730407,112.8944795,112.9073165,24.726172,24.734642
112.913735,24.730407,112.90731650000001,112.9201535,24.726172,24.734642
112.926572,24.730407,112.9201535,112.93299049999999,24.726172,24.734642
112.939409,24.730407,112.9329905,112.9458275,24.726172,24.734642
112.952246,24.730407,112.94582750000001,112.9586645,24.726172,24.734642
112.965083,24.730407,112.95866450000001,112.9715015,24.726172,24.734642
112.97792,24.730407,112.9715015,112.98433849999999,24.726172,24.734642
112.990757,24.730407,112.9843385,112.9971755,24.726172,24.734642
113.003594,24.730407,112.99717550000001,113.0100125,24.726172,24.734642
112.84955,24.738877,112.8431315,112.85596849999999,24.734641999999997,24.743112
112.862387,24.738877,112.8559685,112.8688055,24.734641999999997,24.743112
112.875224,24.738877,112.86880550000001,112.8816425,24.734641999999997,24.743112
112.888061,24.738877,112.8816425,112.89447949999999,24.734641999999997,24.743112
112.900898,24.738877,112.8944795,112.9073165,24.734641999999997,24.743112
112.913735,24.738877,112.90731650000001,112.9201535,24.734641999999997,24.743112
112.926572,24.738877,112.9201535,112.93299049999999,24.734641999999997,24.743112
112.939409,24.738877,112.9329905,112.9458275,24.734641999999997,24.743112
112.952246,24.738877,112.94582750000001,112.9586645,24.734641999999997,24.743112
112.965083,24.738877,112.95866450000001,112.9715015,24.734641999999997,24.743112
112.97792,24.738877,112.9715015,112.98433849999999,24.734641999999997,24.743112
112.990757,24.738877,112.9843385,112.9971755,24.734641999999997,24.743112
113.003594,24.738877,112.99717550000001,113.0100125,24.734641999999997,24.743112
112.84955,24.747347,112.8431315,112.85596849999999,24.743112,24.751582000000003
112.862387,24.747347,112.8559685,112.8688055,24.743112,24.751582000000003
112.875224,24.747347,112.86880550000001,112.8816425,24.743112,24.751582000000003
112.888061,24.747347,112.8816425,112.89447949999999,24.743112,24.751582000000003
112.900898,24.747347,112.8944795,112.9073165,24.743112,24.751582000000003
112.913735,24.747347,112.90731650000001,112.9201535,24.743112,24.751582000000003
112.926572,24.747347,112.9201535,112.93299049999999,24.743112,24.751582000000003
112.939409,24.747347,112.9329905,112.9458275,24.743112,24.751582000000003
112.952246,24.747347,112.94582750000001,112.9586645,24.743112,24.751582000000003
112.965083,24.747347,112.95866450000001,112.9715015,24.743112,24.751582000000003
112.97792,24.747347,112.9715015,112.98433849999999,24.743112,24.751582000000003
112.84955,24.755817,112.8431315,112.85596849999999,24.751582,24.760052
112.862387,24.755817,112.8559685,112.8688055,24.751582,24.760052
112.875224,24.755817,112.86880550000001,112.8816425,24.751582,24.760052
112.888061,24.755817,112.8816425,112.89447949999999,24.751582,24.760052
112.900898,24.755817,112.8944795,112.9073165,24.751582,24.760052
112.913735,24.755817,112.90731650000001,112.9201535,24.751582,24.760052
112.926572,24.755817,112.9201535,112.93299049999999,24.751582,24.760052
112.939409,24.755817,112.9329905,112.9458275,24.751582,24.760052
112.952246,24.755817,112.94582750000001,112.9586645,24.751582,24.760052
112.965083,24.755817,112.95866450000001,112.9715015,24.751582,24.760052
112.97792,24.755817,112.9715015,112.98433849999999,24.751582,24.760052
112.84955,24.764287,112.8431315,112.85596849999999,24.760051999999998,24.768522
112.862387,24.764287,112.8559685,112.8688055,24.760051999999998,24.768522
112.875224,24.764287,112.86880550000001,112.8816425,24.760051999999998,24.768522
112.888061,24.764287,112.8816425,112.89447949999999,24.760051999999998,24.768522
112.900898,24.764287,112.8944795,112.9073165,24.760051999999998,24.768522
112.913735,24.764287,112.90731650000001,112.9201535,24.760051999999998,24.768522
112.926572,24.764287,112.9201535,112.93299049999999,24.760051999999998,24.768522
112.939409,24.764287,112.9329905,112.9458275,24.760051999999998,24.768522
112.952246,24.764287,112.94582750000001,112.9586645,24.760051999999998,24.768522
112.965083,24.764287,112.95866450000001,112.9715015,24.760051999999998,24.768522
112.97792,24.764287,112.9715015,112.98433849999999,24.760051999999998,24.768522
112.836713,24.772757,112.83029450000001,112.8431315,24.768521999999997,24.776992
112.84955,24.772757,112.8431315,112.85596849999999,24.768521999999997,24.776992
112.862387,24.772757,112.8559685,112.8688055,24.768521999999997,24.776992
112.875224,24.772757,112.86880550000001,112.8816425,24.768521999999997,24.776992
112.888061,24.772757,112.8816425,112.89447949999999,24.768521999999997,24.776992
112.900898,24.772757,112.8944795,112.9073165,24.768521999999997,24.776992
112.913735,24.772757,112.90731650000001,112.9201535,24.768521999999997,24.776992
112.926572,24.772757,112.9201535,112.93299049999999,24.768521999999997,24.776992
112.939409,24.772757,112.9329905,112.9458275,24.768521999999997,24.776992
112.952246,24.772757,112.94582750000001,112.9586645,24.768521999999997,24.776992
112.965083,24.772757,112.95866450000001,112.9715015,24.768521999999997,24.776992
112.97792,24.772757,112.9715015,112.98433849999999,24.768521999999997,24.776992
112.836713,24.781227,112.83029450000001,112.8431315,24.776992,24.785462000000003
112.84955,24.781227,112.8431315,112.85596849999999,24.776992,24.785462000000003
112.862387,24.781227,112.8559685,112.8688055,24.776992,24.785462000000003
112.875224,24.781227,112.86880550000001,112.8816425,24.776992,24.785462000000003
112.888061,24.781227,112.8816425,112.89447949999999,24.776992,24.785462000000003
112.900898,24.781227,112.8944795,112.9073165,24.776992,24.785462000000003
112.913735,24.781227,112.90731650000001,112.9201535,24.776992,24.785462000000003
112.926572,24.781227,112.9201535,112.93299049999999,24.776992,24.785462000000003
112.939409,24.781227,112.9329905,112.9458275,24.776992,24.785462000000003
112.952246,24.781227,112.94582750000001,112.9586645,24.776992,24.785462000000003
112.965083,24.781227,112.95866450000001,112.9715015,24.776992,24.785462000000003
112.97792,24.781227,112.9715015,112.98433849999999,24.776992,24.785462000000003
112.84955,24.789697,112.8431315,112.85596849999999,24.785462,24.793932
112.862387,24.789697,112.8559685,112.8688055,24.785462,24.793932
112.875224,24.789697,112.86880550000001,112.8816425,24.785462,24.793932
112.888061,24.789697,112.8816425,112.89447949999999,24.785462,24.793932
112.900898,24.789697,112.8944795,112.9073165,24.785462,24.793932
112.913735,24.789697,112.90731650000001,112.9201535,24.785462,24.793932
112.926572,24.789697,112.9201535,112.93299049999999,24.785462,24.793932
112.939409,24.789697,112.9329905,112.9458275,24.785462,24.793932
112.952246,24.789697,112.94582750000001,112.9586645,24.785462,24.793932
112.965083,24.789697,112.95866450000001,112.9715015,24.785462,24.793932
112.97792,24.789697,112.9715015,112.98433849999999,24.785462,24.793932
112.84955,24.798167,112.8431315,112.85596849999999,24.793931999999998,24.802402
112.862387,24.798167,112.8559685,112.8688055,24.793931999999998,24.802402
112.875224,24.798167,112.86880550000001,112.8816425,24.793931999999998,24.802402
112.888061,24.798167,112.8816425,112.89447949999999,24.793931999999998,24.802402
112.900898,24.798167,112.8944795,112.9073165,24.793931999999998,24.802402
112.913735,24.798167,112.90731650000001,112.9201535,24.793931999999998,24.802402
112.926572,24.798167,112.9201535,112.93299049999999,24.793931999999998,24.802402
112.939409,24.798167,112.9329905,112.9458275,24.793931999999998,24.802402
112.952246,24.798167,112.94582750000001,112.9586645,24.793931999999998,24.802402
112.965083,24.798167,112.95866450000001,112.9715015,24.793931999999998,24.802402
112.97792,24.798167,112.9715015,112.98433849999999,24.793931999999998,24.802402
112.875224,24.806637,112.86880550000001,112.8816425,24.802401999999997,24.810872
112.888061,24.806637,112.8816425,112.89447949999999,24.802401999999997,24.810872
112.900898,24.806637,112.8944795,112.9073165,24.802401999999997,24.810872
112.913735,24.806637,112.90731650000001,112.9201535,24.802401999999997,24.810872
112.926572,24.806637,112.9201535,112.93299049999999,24.802401999999997,24.810872
112.939409,24.806637,112.9329905,112.9458275,24.802401999999997,24.810872
112.952246,24.806637,112.94582750000001,112.9586645,24.802401999999997,24.810872
112.965083,24.806637,112.95866450000001,112.9715015,24.802401999999997,24.810872
112.97792,24.806637,112.9715015,112.98433849999999,24.802401999999997,24.810872
112.875224,24.815107,112.86880550000001,112.8816425,24.810872,24.819342000000002
112.888061,24.815107,112.8816425,112.89447949999999,24.810872,24.819342000000002
112.900898,24.815107,112.8944795,112.9073165,24.810872,24.819342000000002
112.913735,24.815107,112.90731650000001,112.9201535,24.810872,24.819342000000002
112.926572,24.815107,112.9201535,112.93299049999999,24.810872,24.819342000000002
112.939409,24.815107,112.9329905,112.9458275,24.810872,24.819342000000002
112.952246,24.815107,112.94582750000001,112.9586645,24.810872,24.819342000000002
112.965083,24.815107,112.95866450000001,112.9715015,24.810872,24.819342000000002
112.875224,24.823577,112.86880550000001,112.8816425,24.819342,24.827812
112.888061,24.823577,112.8816425,112.89447949999999,24.819342,24.827812
112.900898,24.823577,112.8944795,112.9073165,24.819342,24.827812
112.913735,24.823577,112.90731650000001,112.9201535,24.819342,24.827812
112.926572,24.823577,112.9201535,112.93299049999999,24.819342,24.827812
112.939409,24.823577,112.9329905,112.9458275,24.819342,24.827812
112.952246,24.823577,112.94582750000001,112.9586645,24.819342,24.827812
112.965083,24.823577,112.95866450000001,112.9715015,24.819342,24.827812
112.888061,24.832047,112.8816425,112.89447949999999,24.827811999999998,24.836282
112.900898,24.832047,112.8944795,112.9073165,24.827811999999998,24.836282
112.913735,24.832047,112.90731650000001,112.9201535,24.827811999999998,24.836282
112.888061,24.840517,112.8816425,112.89447949999999,24.836281999999997,24.844752
112.888061,24.848987,112.8816425,112.89447949999999,24.844752,24.853222000000002
