region_id,longitude,latitude,boundary
33,112.939409,24.713467,"[(112.89022985056043, 24.695208338846523), (112.87904143938259, 24.696819873064264), (112.8816425, 24.700761999999997), (112.89447949999999, 24.700761999999997), (112.89711241073854, 24.696771601517028), (112.89022985056043, 24.695208338846523)]"
74,112.97792,24.738877,"[(112.9360545023231, 24.695899352753294), (112.93058502318547, 24.697116296827854), (112.93299049999999, 24.700761999999997), (112.94582750000001, 24.700762), (112.94582750000001, 24.69327308971373), (112.9360545023231, 24.695899352753294)]"
76,113.003594,24.738877,"[(112.94582750000001, 24.69327308971373), (112.94582750000001, 24.700762), (112.9586645, 24.700761999999997), (112.9586645, 24.692292000000002), (112.94947838620169, 24.692292000000002), (112.94582750000001, 24.69327308971373)]"
38,113.003594,24.713467,"[(112.9715015, 24.700761999999997), (112.9715015, 24.692292000000002), (112.9586645, 24.692292000000002), (112.9586645, 24.700761999999997), (112.9715015, 24.700761999999997)]"
35,112.965083,24.713467,"[(112.9843385, 24.700762), (112.9843385, 24.692292000000002), (112.9715015, 24.692292000000002), (112.9715015, 24.700761999999997), (112.9843385, 24.700762)]"
36,112.97792,24.713467,"[(112.99385821175574, 24.694344567093975), (112.98739332321848, 24.68933457040414), (112.98608315135048, 24.689647833602596), (112.9843385, 24.692292000000002), (112.9843385, 24.700762), (112.9971755, 24.700761999999997), (112.9971755, 24.693390146402606), (112.99385821175574, 24.694344567093975)]"
19,112.939409,24.704997,"[(113.00526683922024, 24.691062178193622), (112.9971755, 24.693390146402606), (112.9971755, 24.700761999999997), (113.0100125, 24.700761999999997), (113.0100125, 24.691896713368077), (113.00526683922024, 24.691062178193622)]"
124,112.862387,24.781227,"[(112.8688055, 24.709232), (112.86880550000001, 24.700761999999997), (112.85596849999999, 24.700761999999997), (112.85596849999999, 24.709232), (112.8688055, 24.709232)]"
122,112.836713,24.781227,"[(112.87463806077024, 24.697454118194756), (112.87152181397033, 24.696645196878723), (112.86880550000001, 24.700761999999997), (112.8688055, 24.709232), (112.8816425, 24.709232), (112.8816425, 24.700761999999997), (112.87904143938259, 24.696819873064264), (112.87463806077024, 24.697454118194756)]"
123,112.84955,24.781227,"[(112.89447949999999, 24.709232), (112.89447949999999, 24.700761999999997), (112.8816425, 24.700761999999997), (112.8816425, 24.709232), (112.89447949999999, 24.709232)]"
68,112.900898,24.738877,"[(112.8993567518134, 24.69728136743718), (112.89711241073854, 24.696771601517028), (112.89447949999999, 24.700761999999997), (112.89447949999999, 24.709232), (112.90731650000001, 24.709232), (112.90731650000001, 24.69728136743718), (112.8993567518134, 24.69728136743718)]"
72,112.952246,24.738877,"[(112.91837113002259, 24.696244857861444), (112.90791322196262, 24.69728136743718), (112.90731650000001, 24.69728136743718), (112.90731650000001, 24.709232), (112.9201535, 24.709232), (112.9201535, 24.696612888623417), (112.91837113002259, 24.696244857861444)]"
75,112.990757,24.738877,"[(112.92673745647058, 24.697972369846386), (112.9201535, 24.696612888623417), (112.9201535, 24.709232), (112.93299049999999, 24.709232), (112.93299049999999, 24.700761999999997), (112.93058502318547, 24.697116296827854), (112.92673745647058, 24.697972369846386)]"
141,112.939409,24.789697,"[(112.9458275, 24.709232), (112.94582750000001, 24.700762), (112.93299049999999, 24.700761999999997), (112.93299049999999, 24.709232), (112.9458275, 24.709232)]"
135,112.862387,24.789697,"[(112.94582750000001, 24.700762), (112.9458275, 24.709232), (112.9586645, 24.709232), (112.9586645, 24.700761999999997), (112.94582750000001, 24.700762)]"
139,112.913735,24.789697,"[(112.9715015, 24.700761999999997), (112.9586645, 24.700761999999997), (112.9586645, 24.709232), (112.9715015, 24.709232), (112.9715015, 24.700761999999997)]"
131,112.952246,24.781227,"[(112.9843385, 24.700762), (112.9715015, 24.700761999999997), (112.9715015, 24.709232), (112.9843385, 24.709232), (112.9843385, 24.700762)]"
128,112.913735,24.781227,"[(112.9971755, 24.709232), (112.9971755, 24.700761999999997), (112.9843385, 24.700762), (112.9843385, 24.709232), (112.9971755, 24.709232)]"
133,112.97792,24.781227,"[(113.0100125, 24.709232), (113.0100125, 24.700761999999997), (112.9971755, 24.700761999999997), (112.9971755, 24.709232), (113.0100125, 24.709232)]"
121,112.97792,24.772757,"[(112.84687706871057, 24.710237015165355), (112.8481153736244, 24.717702), (112.85596849999999, 24.717702), (112.85596849999999, 24.709232), (112.84667592632367, 24.709232), (112.84687706871057, 24.710237015165355)]"
161,112.939409,24.806637,"[(112.8688055, 24.709232), (112.85596849999999, 24.709232), (112.85596849999999, 24.717702), (112.86880550000001, 24.717702), (112.8688055, 24.709232)]"
158,112.900898,24.806637,"[(112.86880550000001, 24.717702), (112.8816425, 24.717702000000003), (112.8816425, 24.709232), (112.8688055, 24.709232), (112.86880550000001, 24.717702)]"
163,112.965083,24.806637,"[(112.89447949999999, 24.717702), (112.89447949999999, 24.709232), (112.8816425, 24.709232), (112.8816425, 24.717702000000003), (112.89447949999999, 24.717702)]"
69,112.913735,24.738877,"[(112.90731650000001, 24.709232), (112.89447949999999, 24.709232), (112.89447949999999, 24.717702), (112.90731650000001, 24.717702000000003), (112.90731650000001, 24.709232)]"
73,112.965083,24.738877,"[(112.90731650000001, 24.709232), (112.90731650000001, 24.717702000000003), (112.9201535, 24.717702), (112.9201535, 24.709232), (112.90731650000001, 24.709232)]"
77,112.84955,24.747347,"[(112.9201535, 24.709232), (112.9201535, 24.717702), (112.93299049999999, 24.717702000000003), (112.93299049999999, 24.709232), (112.9201535, 24.709232)]"
138,112.900898,24.789697,"[(112.9458275, 24.709232), (112.93299049999999, 24.709232), (112.93299049999999, 24.717702000000003), (112.94582750000001, 24.717702), (112.9458275, 24.709232)]"
134,112.84955,24.789697,"[(112.9586645, 24.717702000000003), (112.9586645, 24.709232), (112.9458275, 24.709232), (112.94582750000001, 24.717702), (112.9586645, 24.717702000000003)]"
136,112.875224,24.789697,"[(112.9715015, 24.717702000000003), (112.9715015, 24.709232), (112.9586645, 24.709232), (112.9586645, 24.717702000000003), (112.9715015, 24.717702000000003)]"
126,112.888061,24.781227,"[(112.9843385, 24.717702), (112.9843385, 24.709232), (112.9715015, 24.709232), (112.9715015, 24.717702000000003), (112.9843385, 24.717702)]"
125,112.875224,24.781227,"[(112.9843385, 24.709232), (112.9843385, 24.717702), (112.9971755, 24.717702000000003), (112.9971755, 24.709232), (112.9843385, 24.709232)]"
129,112.926572,24.781227,"[(113.01268244626367, 24.717491589220415), (113.01370013254757, 24.714820918419502), (113.0100125, 24.709232), (112.9971755, 24.709232), (112.9971755, 24.717702000000003), (113.01265571794694, 24.717702000000003), (113.01268244626367, 24.717491589220415)]"
67,112.888061,24.738877,"[(112.84896865032256, 24.722845884628427), (112.84976689077112, 24.730407), (112.85317419837189, 24.730407), (112.85596849999999, 24.726172), (112.85596849999999, 24.717702), (112.8481153736244, 24.717702), (112.84896865032256, 24.722845884628427)]"
156,112.875224,24.806637,"[(112.85596849999999, 24.717702), (112.85596849999999, 24.726172), (112.86880550000001, 24.726172), (112.86880550000001, 24.717702), (112.85596849999999, 24.717702)]"
155,112.97792,24.798167,"[(112.86880550000001, 24.717702), (112.86880550000001, 24.726172), (112.8816425, 24.726172), (112.8816425, 24.717702000000003), (112.86880550000001, 24.717702)]"
159,112.913735,24.806637,"[(112.8816425, 24.726172), (112.89447949999999, 24.726172000000002), (112.89447949999999, 24.717702), (112.8816425, 24.717702000000003), (112.8816425, 24.726172)]"
116,112.913735,24.772757,"[(112.90731650000001, 24.717702000000003), (112.89447949999999, 24.717702), (112.89447949999999, 24.726172000000002), (112.90731650000001, 24.726172), (112.90731650000001, 24.717702000000003)]"
70,112.926572,24.738877,"[(112.9201535, 24.726172000000002), (112.9201535, 24.717702), (112.90731650000001, 24.717702000000003), (112.90731650000001, 24.726172), (112.9201535, 24.726172000000002)]"
40,112.862387,24.721937,"[(112.9201535, 24.717702), (112.9201535, 24.726172000000002), (112.93299049999999, 24.726172), (112.93299049999999, 24.717702000000003), (112.9201535, 24.717702)]"
142,112.952246,24.789697,"[(112.93299049999999, 24.717702000000003), (112.93299049999999, 24.726172), (112.94582750000001, 24.726172), (112.94582750000001, 24.717702), (112.93299049999999, 24.717702000000003)]"
137,112.888061,24.789697,"[(112.94582750000001, 24.717702), (112.94582750000001, 24.726172), (112.9586645, 24.726172), (112.9586645, 24.717702000000003), (112.94582750000001, 24.717702)]"
140,112.926572,24.789697,"[(112.9586645, 24.726172), (112.9715015, 24.726172000000002), (112.9715015, 24.717702000000003), (112.9586645, 24.717702000000003), (112.9586645, 24.726172)]"
130,112.939409,24.781227,"[(112.9715015, 24.717702000000003), (112.9715015, 24.726172000000002), (112.9843385, 24.726172000000002), (112.9843385, 24.717702), (112.9715015, 24.717702000000003)]"
127,112.900898,24.781227,"[(112.9843385, 24.717702), (112.9843385, 24.726172000000002), (112.9971755, 24.726172), (112.9971755, 24.717702000000003), (112.9843385, 24.717702)]"
132,112.965083,24.781227,"[(113.01265571794694, 24.717702000000003), (112.9971755, 24.717702000000003), (112.9971755, 24.726172), (113.01157978047296, 24.726172), (113.01265571794694, 24.717702000000003)]"
160,112.926572,24.806637,"[(112.85317419837189, 24.730407), (112.85596849999999, 24.734642), (112.86880550000001, 24.734641999999997), (112.86880550000001, 24.726172), (112.85596849999999, 24.726172), (112.85317419837189, 24.730407)]"
157,112.888061,24.806637,"[(112.86880550000001, 24.734641999999997), (112.8816425, 24.734641999999997), (112.8816425, 24.726172), (112.86880550000001, 24.726172), (112.86880550000001, 24.734641999999997)]"
162,112.952246,24.806637,"[(112.89447949999999, 24.734642), (112.89447949999999, 24.726172000000002), (112.8816425, 24.726172), (112.8816425, 24.734641999999997), (112.89447949999999, 24.734642)]"
114,112.888061,24.772757,"[(112.90731650000001, 24.734642), (112.90731650000001, 24.726172), (112.89447949999999, 24.726172000000002), (112.89447949999999, 24.734642), (112.90731650000001, 24.734642)]"
71,112.939409,24.738877,"[(112.90731650000001, 24.734642), (112.9201535, 24.734641999999997), (112.9201535, 24.726172000000002), (112.90731650000001, 24.726172), (112.90731650000001, 24.734642)]"
34,112.952246,24.713467,"[(112.9201535, 24.726172000000002), (112.9201535, 24.734641999999997), (112.93299049999999, 24.734642), (112.93299049999999, 24.726172), (112.9201535, 24.726172000000002)]"
81,112.900898,24.747347,"[(112.93299049999999, 24.734642), (112.94582750000001, 24.734642), (112.94582750000001, 24.726172), (112.93299049999999, 24.726172), (112.93299049999999, 24.734642)]"
79,112.875224,24.747347,"[(112.94582750000001, 24.726172), (112.94582750000001, 24.734642), (112.9586645, 24.734642), (112.9586645, 24.726172), (112.94582750000001, 24.726172)]"
82,112.913735,24.747347,"[(112.9586645, 24.734642), (112.9715015, 24.734641999999997), (112.9715015, 24.726172000000002), (112.9586645, 24.726172), (112.9586645, 24.734642)]"
43,112.900898,24.721937,"[(112.9843385, 24.726172000000002), (112.9715015, 24.726172000000002), (112.9715015, 24.734641999999997), (112.9843385, 24.734642), (112.9843385, 24.726172000000002)]"
42,112.888061,24.721937,"[(112.9843385, 24.726172000000002), (112.9843385, 24.734642), (112.9971755, 24.734641999999997), (112.9971755, 24.726172), (112.9843385, 24.726172000000002)]"
45,112.926572,24.721937,"[(113.00697813253142, 24.73424458456388), (113.01097115205417, 24.73096324747656), (113.01157978047296, 24.726172), (112.9971755, 24.726172), (112.9971755, 24.734641999999997), (113.00669500024561, 24.734641999999997), (113.00697813253142, 24.73424458456388)]"
66,112.875224,24.738877,"[(112.85029965623126, 24.735453475804885), (112.84782778721677, 24.742361203582238), (112.84788415394728, 24.743112), (112.85596849999999, 24.743112), (112.85596849999999, 24.734642), (112.85317419837189, 24.730407), (112.84976689077112, 24.730407), (112.85029965623126, 24.735453475804885)]"
65,112.862387,24.738877,"[(112.85596849999999, 24.743112), (112.86880550000001, 24.743112), (112.86880550000001, 24.734641999999997), (112.85596849999999, 24.734642), (112.85596849999999, 24.743112)]"
118,112.939409,24.772757,"[(112.86880550000001, 24.734641999999997), (112.86880550000001, 24.743112), (112.8816425, 24.743112), (112.8816425, 24.734641999999997), (112.86880550000001, 24.734641999999997)]"
115,112.900898,24.772757,"[(112.8816425, 24.734641999999997), (112.8816425, 24.743112), (112.89447949999999, 24.743112), (112.89447949999999, 24.734642), (112.8816425, 24.734641999999997)]"
117,112.926572,24.772757,"[(112.89447949999999, 24.743112), (112.90731650000001, 24.743112), (112.90731650000001, 24.734642), (112.89447949999999, 24.734642), (112.89447949999999, 24.743112)]"
49,112.97792,24.721937,"[(112.9201535, 24.743112), (112.9201535, 24.734641999999997), (112.90731650000001, 24.734642), (112.90731650000001, 24.743112), (112.9201535, 24.743112)]"
152,112.939409,24.798167,"[(112.9201535, 24.743112), (112.93299049999999, 24.743112), (112.93299049999999, 24.734642), (112.9201535, 24.734641999999997), (112.9201535, 24.743112)]"
147,112.875224,24.798167,"[(112.94582750000001, 24.734642), (112.93299049999999, 24.734642), (112.93299049999999, 24.743112), (112.94582750000001, 24.743112), (112.94582750000001, 24.734642)]"
150,112.913735,24.798167,"[(112.9586645, 24.734642), (112.94582750000001, 24.734642), (112.94582750000001, 24.743112), (112.9586645, 24.743112), (112.9586645, 24.734642)]"
80,112.888061,24.747347,"[(112.9715015, 24.743112), (112.9715015, 24.734641999999997), (112.9586645, 24.734642), (112.9586645, 24.743112), (112.9715015, 24.743112)]"
46,112.939409,24.721937,"[(112.9715015, 24.743112), (112.9843385, 24.743112), (112.9843385, 24.734642), (112.9715015, 24.734641999999997), (112.9715015, 24.743112)]"
44,112.913735,24.721937,"[(112.98720317951725, 24.74702370231213), (112.99347792435324, 24.743051954927235), (112.99385821175574, 24.741152378678073), (112.9971755, 24.740248536851723), (112.9971755, 24.734641999999997), (112.9843385, 24.734642), (112.9843385, 24.743112), (112.98717958736286, 24.74741790773046), (112.98720317951725, 24.74702370231213)]"
12,112.84955,24.704997,"[(112.84839821832051, 24.749959260546245), (112.84865349145115, 24.751582), (112.85596849999999, 24.751582), (112.85596849999999, 24.743112), (112.84788415394728, 24.743112), (112.84839821832051, 24.749959260546245)]"
32,112.926572,24.713467,"[(112.86880550000001, 24.751582), (112.86880550000001, 24.743112), (112.85596849999999, 24.743112), (112.85596849999999, 24.751582), (112.86880550000001, 24.751582)]"
109,112.97792,24.764287,"[(112.86880550000001, 24.743112), (112.86880550000001, 24.751582), (112.8816425, 24.751582), (112.8816425, 24.743112), (112.86880550000001, 24.743112)]"
108,112.965083,24.764287,"[(112.8816425, 24.743112), (112.8816425, 24.751582), (112.89447949999999, 24.751582), (112.89447949999999, 24.743112), (112.8816425, 24.743112)]"
111,112.84955,24.772757,"[(112.89447949999999, 24.751582), (112.90731650000001, 24.751582000000003), (112.90731650000001, 24.743112), (112.89447949999999, 24.743112), (112.89447949999999, 24.751582)]"
48,112.965083,24.721937,"[(112.9201535, 24.743112), (112.90731650000001, 24.743112), (112.90731650000001, 24.751582000000003), (112.9201535, 24.751582), (112.9201535, 24.743112)]"
149,112.900898,24.798167,"[(112.93299049999999, 24.743112), (112.9201535, 24.743112), (112.9201535, 24.751582), (112.93299049999999, 24.751582000000003), (112.93299049999999, 24.743112)]"
145,112.84955,24.798167,"[(112.94582750000001, 24.751582), (112.94582750000001, 24.743112), (112.93299049999999, 24.743112), (112.93299049999999, 24.751582000000003), (112.94582750000001, 24.751582)]"
146,112.862387,24.798167,"[(112.9586645, 24.751582), (112.9586645, 24.743112), (112.94582750000001, 24.743112), (112.94582750000001, 24.751582), (112.9586645, 24.751582)]"
83,112.926572,24.747347,"[(112.9586645, 24.751582), (112.9715015, 24.751582), (112.9715015, 24.743112), (112.9586645, 24.743112), (112.9586645, 24.751582)]"
41,112.875224,24.721937,"[(112.98717958736286, 24.74741790773046), (112.9843385, 24.743112), (112.9715015, 24.743112), (112.9715015, 24.751582), (112.98693037742518, 24.751582), (112.98717958736286, 24.74741790773046)]"
13,112.862387,24.704997,"[(112.8491587940238, 24.754794145432935), (112.84430264452651, 24.760052), (112.85596849999999, 24.760052), (112.85596849999999, 24.751582), (112.84865349145115, 24.751582), (112.8491587940238, 24.754794145432935)]"
15,112.888061,24.704997,"[(112.85596849999999, 24.751582), (112.85596849999999, 24.760052), (112.86880550000001, 24.760052), (112.86880550000001, 24.751582), (112.85596849999999, 24.751582)]"
112,112.862387,24.772757,"[(112.86880550000001, 24.751582), (112.86880550000001, 24.760052), (112.8816425, 24.760052), (112.8816425, 24.751582), (112.86880550000001, 24.751582)]"
110,112.836713,24.772757,"[(112.89447949999999, 24.760052), (112.89447949999999, 24.751582), (112.8816425, 24.751582), (112.8816425, 24.760052), (112.89447949999999, 24.760052)]"
113,112.875224,24.772757,"[(112.90731650000001, 24.751582000000003), (112.89447949999999, 24.751582), (112.89447949999999, 24.760052), (112.90731650000001, 24.760051999999998), (112.90731650000001, 24.751582000000003)]"
50,112.990757,24.721937,"[(112.9201535, 24.760052), (112.9201535, 24.751582), (112.90731650000001, 24.751582000000003), (112.90731650000001, 24.760051999999998), (112.9201535, 24.760052)]"
153,112.952246,24.798167,"[(112.9201535, 24.751582), (112.9201535, 24.760052), (112.93299049999999, 24.760052), (112.93299049999999, 24.751582000000003), (112.9201535, 24.751582)]"
148,112.888061,24.798167,"[(112.93299049999999, 24.760052), (112.94582750000001, 24.760051999999998), (112.94582750000001, 24.751582), (112.93299049999999, 24.751582000000003), (112.93299049999999, 24.760052)]"
151,112.926572,24.798167,"[(112.94582750000001, 24.760051999999998), (112.9586645, 24.760052), (112.9586645, 24.751582), (112.94582750000001, 24.751582), (112.94582750000001, 24.760051999999998)]"
